PHARMACIE PROLIFE,,,,,,,,,,,
"DR LEWHE GILDAS STANISLAS ENAGNON
TABAGNE
18 BP 2156 Abj 08 - TEL: 0705490928",,,,,,,,,,,
LISTE DES 20 PREMIERS PRODUITS SELON LES QUANTITES VENDUES ,,,,,,,,,,,
,, Période  du  01/08/2023 au  10/12/2023,,,,,,,,,
,,,,,,,,Page : 1/1,,,
Rang,Code,Désignation,,Stock,Prix d'achat,Prix de Vente,,,TVA,,Qté vendue
1,8163121D,PARACETAMOL CRE 500 B/12X100  (DETAIL),,12,145 F,250 F,,,,0,"2,851"
2,1208121D,SERINGUE 5CC /100 PEN  (DETAIL),,18,47 F,100 F,,,,1,743
3,8081802D,LITACOLD CP B/20X4  (DETAIL),,9,181 F,300 F,,,,0,644
4,489051D,GANT EXAMEN MEDIUM B/100  (DETAIL),,98,31 F,100 F,,,,0,511
5,2296105D,AMOXICIL CREACIL 500 GEL100X12  (DETAIL),,75,584 F,900 F,,,,0,498
6,2270181,CONFIANCE COMP PLAQ/3X28,,24,814 F,"1,230 F",,,,0,469
7,1530601D,FINIFAT 500MG CP B/100  (DETAIL),,8,138 F,250 F,,,,0,451
8,2256146,PREGNON CP B/1,,75,672 F,"1,015 F",,,,1,357
9,1280261,PARAMED 500MG CP B/20,,87,198 F,300 F,,,,0,347
10,2297033,MAG 2 AMP BUV SS 10ML B/30 AFR,,83,"3,312 F","5,000 F",,,,1,312
11,8076190,ARTEFAN 80/480 CP ETUI B/6,,342,"1,423 F","2,150 F",,,,0,305
12,1437911D,LITAMOL 100MG EFF CP B/80  (DETAIL),,-24,218 F,350 F,,,,0,301
13,3545504D,MAALOX ME CIT SUSP4.3MLSAC/20  (DETAIL),,19,108 F,200 F,,,,0,289
14,2277421,EFFERALGAN PED S.BUV 90ML AFR,,220,"1,048 F","1,621 F",,,,0,283
15,8130920D,ALMAX FORTE SACH PDRE B/30  (DETAIL),,13,97 F,200 F,,,,0,282
16,8024081,LITACOLD SP FL/100ML,,2,745 F,"1,125 F",,,,0,253
17,2255678,IBEX 200/235/30MG GELU B/24,,36,930 F,"1,410 F",,,,1,247
18,3016450,CA C 1000 COMP EFF T/10,,70,"1,779 F","2,685 F",,,,0,241
19,2296312D,CIPHACET 500 CP BLIST B/300  (DETAIL),,0,131 F,200 F,,,,0,240
20,8143360D,SERINGUE 10ML B/100   PEN  (DETAIL),,29,17 F,150 F,,,,1,215
,,,,,,,,,,,"9,839"
LISTE DES 20 PREMIERS PRODUITS SELON LES QUANTITES VENDUES  -  Imprimé le mercredi 10 décembre 2025 à 15:37 par BORIS EASY,,,,,,,@ 2023 - EasyPharma SWITCH ,,,,
