GRANDE PHARMACIE DE TANDA,,,,,
"DR TCHUERE ALEXIS
TANDA
BP 35 TANDA - 0788203030",,,,,
,LISTE DES PRODUITS VENDUS,,,,
, Période  du  01/08/2022 au  10/12/2022,,,,
Code Géo :,ANTIBIOTIQUES 1,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
1511641,AARLEFLOX 500MG CP B/10,1,0,"4,130",
1511601,AARLOFLOX OZ 200MG/500MG B/10,18,0,"2,760",
2278030,"ACLAV 100MG/12,5MG SP F/60ML          ",2,0,"3,270",
2277993,ACLAV 1G/125MG SACH B/12           ,7,4,"5,580",
8179582,ACLAV 1G/125MG SACH B/16,3,2,"7,780",
8151388,ALFAMOX 1G PDR SUSP BUV SACH B/14,5,4,"3,720",
8155446,ALFAMOX 250MG/5ML PDRE SUSP F/100ML,4,4,"1,930",
2284906,ALTRIM 240MG SUSP BUV F/100ML      ,10,2,"1,880",
8140031,ALTRIM FORTE 960MG CPR B/9,1,2,"1,800",
1211751,AMFOCIN 1G/125MG SACHET B/12,37,2,"6,330",
1526641,AMFOCIN 1G/200MG PDR INJ F/1,16,0,"2,070",
1565861,AMFOCIN 500/62.5MG P/SUP 30ML,4,1,"2,410",
1565881,AMFOCIN 500/62.5MG PDRE SUSP ORALE F60ML,1,0,"3,445",
8182288,AMFOCIN 500MG/62.5 CP B/16,1,3,"4,620",
8182294,AMFOCIN 875/125MG CP B/14,3,1,"6,300",
2263407,AMITRON SP 250MG FL/60ML           ,8,0,"1,100",
3392259,AMODEX 125MG PDRE SUSP F/30G       ,56,9,"1,000",
3234537,AMODEX 250MG PDR SIROP FL 60ML     ,5,15,"1,280",
3234520,AMODEX 500MG GELULE BT 12          ,1,1,"1,230",
2030034,AMOXICILINE CREACIL 500MG B/12 GEL  ,3,0,"1,440",
2293182,AMOXICILLINE TONG 500MG CP/12,4,2,945,
8054194,AMOXICILLINE UBI 125MG PDR F/60ML,79,202,895,
8054231,AMOXICILLINE UBI 250MG PDR SUSP F/60ML,375,115,"1,040",
2288873,AMOXICLAV DENK 1000/125MG SACH B/8,2,2,"4,850",
2291177,AMOXICLAV DENK 500/62.5 CP 2X8,2,2,"4,860",
2261762,AMOXI-DENK 1000MG CP B/10,1,0,"2,760",
2035244,AMPIPHAR AMPIC 500MG CPR B/12      ,5,2,"1,100",
1405551,AMPLEX 1000MG/125MG CPR B/14,4,1,"6,230",
1506541,AMPLEX 100MG/12.5MG S BUV 60ML,5,2,"3,060",
1506531,AMPLEX DS 250/31.25 S.BUV 60ML,1,2,"4,140",
8488768,ASMOXIME 200MG CP B/10,2,1,"4,800",
8018991,ASTAPH 125MG SP F/60ML             ,17,3,"2,310",
8034518,ASTAPH 250MG SP F/60ML             ,5,3,"3,330",
8151141,ASTAPH 250MG/5ML FL/100ML,8,3,"4,850",
8151394,ASTAPH 500MG GEL B/24,1,2,"5,300",
8019051,ASTAPH 500MG GELU B/12             ,7,43,"2,720",
8152376,ATMAX 500MG CP B/3,15,3,"5,980",
3439251,AUGMENTIN 100MG ENFT SUSP 60ML     ,3,2,"5,030",
3331401,AUGMENTIN 100MG SUSP BB FL/30ML    ,50,5,"2,850",
3445116,AUGMENTIN 1G SACHET B/12           ,4,2,"7,830",
3533702,AUGMENTIN 500MG CPR PELL B/16      ,7,5,"5,460",
8192080,AZ 500MG CP B/3,2,2,"4,930",
8014693,AZIBACT 500MG CP B/3               ,9,3,"4,170",
2271565,AZICURE 200MG SUSP FL 15ML,1,2,"4,395",
2271140,AZICURE 500MG CP B/3,2,2,"4,960",
1353371,AZIK 500MG CP B/3,1,1,"3,750",
1243461,AZIOCIN 500MG CPR BT/3,2,1,"3,600",
8068517,AZIT 200MG PDRE SUSP BUV F/15ML,3,2,"1,870",
8508904,AZIT 500MG CPR PELL SEC B/3,2,3,"3,890",
8411033,AZITHRIN 500MG GEL B/3,1,2,"3,855",
8152123,AZITHRO  500MG GELULE B/3         ,14,4,"4,440",
8102384,AZITHRO 100MG PDRE SUSP BUV SACH/3 ,9,1,"1,960",
8102390,AZITHRO 200MG PDRE SUSP BUV SACH/3 ,9,1,"2,760",
1442101,AZITHRO MP 250MG GELULE B/6           ,4,0,"3,580",
1609211,AZOMYCIN 250MG GEL B/6,5,0,"2,730",
3335882,BACTOX 125MG SP 60ML               ,40,0,"1,160",
1288371,BACTOXIME DS 100MG/5ML PDRE SP F/60ML,1,2,"4,510",
3219704,BACTRIM FORTE COMP B/10            ,6,0,"3,570",
8156782,BECTACEF 1000/500 PDRE INJ,4,5,"2,755",
8054484,"BENZAT BENZYLPENICIL UBI 2,4MUI INJ",81,18,"1,100",
1444181,BEROXYL 250MG/5ML SUSP 60ML,2,1,"1,160",
8342125,BIBACTIN 240MG SP F/100ML          ,143,14,"1,550",
