PHARMACIE PROLIFE,,,,,
"DR LEWHE GILDAS STANISLAS ENAGNON
TABAGNE
18 BP 2156 Abj 08 - TEL: 0705490928",,,,,
,LISTE DES PRODUITS VENDUS,,,,
, Période  du  10/12/2022 au  10/12/2022,,,,
Code Géo :,AMPOULES BUVABLES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2297033,MAG 2 AMP BUV SS 10ML B/30 AFR,2,83,"5,000",
,,Nombre d'articles :,1,,
Code Géo :,ANTI PALUDEEN,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
1307651,ARTEFAN 40/240MG SUSP F/30ML,2,52,"2,075",
2255974,BIMALARIL 80/480 CP B/6,1,9,"2,300",
8129348,D-ARTEPP 40/320MG CP PEL B/9,1,0,"3,310",
,,Nombre d'articles :,3,,
Code Géo :,AUTRES COMPRIMES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8090445,ANTALGEX T GEL B/20,1,10,"1,970",
2273469,CEFALORAL 200 CP B/10,1,68,"3,925",
8172019,CREAZITHRO 500MG BL/3,1,6,"2,150",
2291823,FLUCAZOL 100MG GEL B/10,1,14,"2,606",
9016706,INDOFIX 200MG CP B/10,2,26,"5,650",
3528138,LASILIX 40MG COMP B/30,1,34,"2,740",
,,Nombre d'articles :,6,,
Code Géo :,AUTRES DETAILS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
022,ALOE LEVRE/FOREVER,2,0,"3,000",
2270181,CONFIANCE COMP PLAQ/3X28,2,24,"1,230",
2264447D,DICLO DENK 100 RETARD BL/10X10  (DETAIL),1,5,"1,000",
1437911D,LITAMOL 100MG EFF CP B/80  (DETAIL),1,-24,350,
8142538D,NEUTROCOLD 2/5/30/500MG CP/100  (DETAIL),2,0,300,
1656731D,PARACETAMOL CRE 500 BL/100X10  (DETAIL),9,36,200,
,,Nombre d'articles :,6,,
Code Géo :,AUTRES SIROPS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2284906,ALTRIM SUSP BUV FL/100ML,1,4,"1,800",
8054231,AMOXICIL UBI 250MG PDR F/60ML,1,19,"1,010",
3065299,MAXILASE SP F/125ML,1,5,"2,550",
,,Nombre d'articles :,3,,
Code Géo :,BIEN ETRE,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8173444,HEXIDINE BAIN BOUCHE 160ML,1,2,"1,625",
1547941,PRESERV MANIX CONTACT + 3 NPD,1,-1,950,
,,Nombre d'articles :,2,,
Code Géo :,COLLUTOIRES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
3443873,VENTOLINE INH 100MCG 200D,1,12,"3,930",
,,Nombre d'articles :,1,,
Code Géo :,COLLYRES ET POMMADES OPHTALMIQUES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
3021741,CHIBRO CADRON CY FL/5ML,1,10,"2,010",
8113867,GENTA 0.3% GTTE FL/5ML,2,37,"1,380",
,,Nombre d'articles :,2,,
Code Géo :,CREMES ET POMMADES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2027724,GRISEO LAPR 5% T/15G,1,7,"1,050",
9001314,RUBIX HOT GEL T/30G,1,0,"1,470",
,,Nombre d'articles :,2,,
Code Géo :,DEPARASITANTS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2268267,VEREX 400MG SUSP BUV FL/10 ML,1,20,"1,000",
,,Nombre d'articles :,1,,
Code Géo :,FARINES ENFANTILES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2279070D,CERELAC BLE 50G P/10  (DETAIL),1,3,325,
8114660,PHOSPHATINE LACT BISC 200G,1,26,"1,270",
8114677,PHOSPHATINE LACT BLE 200G,1,0,"1,270",
925621,PHOSPHATINE MIEL 200G.,1,13,"1,230",
,,Nombre d'articles :,4,,
Code Géo :,FORTIFIANTS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
3016450,CA C 1000 COMP EFF T/10,1,70,"2,685",
2274836,JUVAMINE FIZZ VIT C+CAL EFF/30,1,0,"3,540",
2286911,NURAVIT SP FL/125ML,2,10,"2,890",
2009873,TRES ORIX FORTE SP FL/100ML,1,26,"2,380",
2007880,UPSA VIT C 1G CP EFF B/10,1,79,"1,210",
,,Nombre d'articles :,5,,
Code Géo :,GOUTTES BUVABLES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2271246,BETASONE 0.5MG/L GTTE BUV 30ML,1,6,"3,260",
,,Nombre d'articles :,1,,
Code Géo :,GOUTTES ET POMMADES AURICULAIRES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
3153342,POLYDEXA GTTE AURIC F/10.1ML,1,0,"2,070",
,,Nombre d'articles :,1,,
Code Géo :,LAITS INFANTILES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
806801,GUIGOZ 1 B/400G,2,-1,"3,585",
,,Nombre d'articles :,1,,
Code Géo :,MEDICATION FAMILIALE,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
3637324,EFFERALGAN VIT C 500 CP EFF/16,1,52,"1,500",
2255678,IBEX 200/235/30MG GELU B/24,1,37,"1,410",
9001449,PANADOL ADVANCE 500MG CP/16,1,18,"1,185",
2274517,PAROL 500MG CP B/30,1,2,"1,210",
2256146,PREGNON CP B/1,1,75,"1,015",
,,Nombre d'articles :,5,,
Code Géo :,PANSEMENTS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
1878391,SPARADRAP PERF PHD 10CMX5M /1,1,0,"3,330",
,,Nombre d'articles :,1,,
Code Géo :,RHUME ET GRIPPE,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
3270591,FERVEX AD GRAN SACH B/8,1,15,"2,590",
8024081,LITACOLD SP FL/100ML,1,2,"1,125",
,,Nombre d'articles :,2,,
Code Géo :,SACHETS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
3400935455048,MAALOX ME CIT SUSP4.3MLSAC/20,1,4,"3,930",
,,Nombre d'articles :,1,,
Code Géo :,SIROPS ANTI ANEMIQUE ,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
1507161,APMALT SP FL/100ML,1,9,"5,850",
2287603,FERAMALT SP F/100ML,1,28,"6,330",
,,Nombre d'articles :,2,,
Code Géo :,SIROPS DE TOUX,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2264140,APDYL H SP F/100ML,2,44,"2,685",
3406518,MUCOMYST 200MG PDR SACH/18,1,2,"2,605",
3312438,TERPONE SP AD FL/180ML,1,1,"2,030",
9001320,VENTESYL SP F/100ML,1,3,"2,580",
,,Nombre d'articles :,4,,
Code Géo :,SOINS DU CORPS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
6559659,COTON DEMAQ CARRE S/45 STRLUX,1,0,"1,070",
1676071,MIRACLES CR VISAGE 50G,1,1,"3,120",
1676031,MIRACLES KORA GEL BAIN LUM 450,1,0,"5,710",
1676041,MIRACLES KORA LAIT LUM 350ML,1,1,"6,230",
,,Nombre d'articles :,4,,
Code Géo :,SUPPOSITOIRES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2264430,DICLO DENK 100 RECTAL B/10,1,7,"2,435",
3112975,VISCERALGINE 20MG SUPPO B/20,1,5,"1,600",
,,Nombre d'articles :,2,,
,,,Nombre total d'aticles :,,60
LISTE DES PRODUITS VENDUS -  Imprimé le mercredi 10 décembre 2025 à 11:52 par BORIS EASY,,Page : 1/1,@ 2023 - EasyPharma SWITCH ,,
