m49,Country,RecID,ID,gadm36_2,Region,value,item,year,itemDes
384,Côte d'Ivoire,1,CI03,CIV.7.1_1,Agneby-Tiassa                                      ,43.8,AgeMoy,2016,Age moyen 
384,Côte d'Ivoire,1,CI03,CIV.7.1_1,Agneby-Tiassa                                      ,27261,AgriVegPure,2016,Agriculture végétale au sens strict
384,Côte d'Ivoire,1,CI03,CIV.7.1_1,Agneby-Tiassa                                      ,800,EffParAutr,2016,Titre d'occupation de la parcelle - Autres
384,Côte d'Ivoire,1,CI03,CIV.7.1_1,Agneby-Tiassa                                      ,32702,EffParCout,2016,Titre d'occupation de la parcelle - Coutumier
384,Côte d'Ivoire,1,CI03,CIV.7.1_1,Agneby-Tiassa                                      ,41044,EffParDefi,2016,Titre d'occupation de la parcelle - Concession définitive
384,Côte d'Ivoire,1,CI03,CIV.7.1_1,Agneby-Tiassa                                      ,297,EffParFonc,2016,Titre d'occupation de la parcelle - Titre foncier
384,Côte d'Ivoire,1,CI03,CIV.7.1_1,Agneby-Tiassa                                      ,3442,EffParIrr,2016,Parcelles irriguées
384,Côte d'Ivoire,1,CI03,CIV.7.1_1,Agneby-Tiassa                                      ,4680,EffParLoc,2016,Titre d'occupation de la parcelle - Contrat de location
384,Côte d'Ivoire,1,CI03,CIV.7.1_1,Agneby-Tiassa                                      ,90755,EffParNonIrr,2016,Parcelles non irriguées
384,Côte d'Ivoire,1,CI03,CIV.7.1_1,Agneby-Tiassa                                      ,12397,EffParProv,2016,Titre d'occupation de la parcelle - Concession provisoire
384,Côte d'Ivoire,1,CI03,CIV.7.1_1,Agneby-Tiassa                                      ,746,EffParSans,2016,Titre d'occupation de la parcelle - Sans autorisation
384,Côte d'Ivoire,1,CI03,CIV.7.1_1,Agneby-Tiassa                                      ,94197,EffParTot,2016,Titre d'occupation de la parcelle - Total
384,Côte d'Ivoire,1,CI03,CIV.7.1_1,Agneby-Tiassa                                      ,1531,EffParcCertif,2016,Titre d'occupation de la parcelle - Certificat foncier
384,Côte d'Ivoire,1,CI03,CIV.7.1_1,Agneby-Tiassa                                      ,1033,ElevPure,2016,Elevage au sens strict
