PHARMACIE PROLIFE,,,,,,,,,,,
"DR LEWHE GILDAS STANISLAS ENAGNON
TABAGNE
18 BP 2156 Abj 08 - TEL: 0705490928",,,,,,,,,,,
LISTE DES 20 PREMIERS PRODUITS SELON LES QUANTITES VENDUES ,,,,,,,,,,,
,, Période  du  01/08/2022 au  10/12/2022,,,,,,,,,
,,,,,,,,Page : 1/1,,,
Rang,Code,Désignation,,Stock,Prix d'achat,Prix de Vente,,,TVA,,Qté vendue
1,1656731D,PARACETAMOL CRE 500 BL/100X10  (DETAIL),,35,127 F,200 F,,,,0,47
2,8130920D,ALMAX FORTE SACH PDRE B/30  (DETAIL),,13,97 F,200 F,,,,0,20
3,2270181,CONFIANCE COMP PLAQ/3X28,,24,814 F,"1,230 F",,,,0,18
4,8081802D,LITACOLD CP B/20X4  (DETAIL),,9,181 F,300 F,,,,0,17
5,2297033,MAG 2 AMP BUV SS 10ML B/30 AFR,,83,"3,312 F","5,000 F",,,,1,16
6,3545504D,MAALOX ME CIT SUSP4.3MLSAC/20  (DETAIL),,19,108 F,200 F,,,,0,14
7,2296312D,CIPHACET 500 CP BLIST B/300  (DETAIL),,0,131 F,200 F,,,,0,14
8,1004441,TRADOLAN 50MG CP B/20,,8,967 F,"1,460 F",,,,0,12
9,8076190,ARTEFAN 80/480 CP ETUI B/6,,342,"1,423 F","2,150 F",,,,0,9
10,2287603,FERAMALT SP F/100ML,,28,"4,194 F","6,330 F",,,,0,8
11,2279070D,CERELAC BLE 50G P/10  (DETAIL),,0,270 F,325 F,,,,1,7
12,8054024D,AMOXICIL UBI 500MG GEL BL10X12  (DETAIL),,4,547 F,900 F,,,,0,6
13,2264447D,DICLO DENK 100 RETARD BL/10X10  (DETAIL),,4,632 F,"1,000 F",,,,0,6
14,3036101,EFFERALGAN 500MG CP EFF/16,,70,"1,040 F","1,570 F",,,,0,6
15,2007880,UPSA VIT C 1G CP EFF B/10,,79,803 F,"1,210 F",,,,0,5
16,8137282,DOXY 200MG CP B/8,,14,"1,552 F","2,345 F",,,,0,5
17,1437911D,LITAMOL 100MG EFF CP B/80  (DETAIL),,-24,218 F,350 F,,,,0,4
18,2295809D,VIT B DENK CP B/10X10 B1+B6  (DETAIL),,2,546 F,850 F,,,,0,4
19,8110900D,FEBRILEX CP B/4 PRES/50  (DETAIL),,47,278 F,500 F,,,,0,4
20,3112975,VISCERALGINE 20MG SUPPO B/20,,5,"1,058 F","1,600 F",,,,0,4
,,,,,,,,,,,226
LISTE DES 20 PREMIERS PRODUITS SELON LES QUANTITES VENDUES  -  Imprimé le mercredi 10 décembre 2025 à 15:39 par BORIS EASY,,,,,,,@ 2023 - EasyPharma SWITCH ,,,,
