PHARMACIE PROLIFE,,,,,
"DR LEWHE GILDAS STANISLAS ENAGNON
TABAGNE
18 BP 2156 Abj 08 - TEL: 0705490928",,,,,
,LISTE DES PRODUITS VENDUS,,,,
, Période  du  10/12/2023 au  10/12/2023,,,,
Code Géo :,AMPOULES BUVABLES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8169827,DYNAMOGEN AMP BUV B/20,1,19,"4,390",
2297033,MAG 2 AMP BUV SS 10ML B/30 AFR,1,83,"5,000",
3357317,REVITALOSE AMP BUV B/10X2 NF,1,4,"6,268",
,,Nombre d'articles :,3,,
Code Géo :,ANTI PALUDEEN,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2298794,ARTEFAN 20/120 CP ETUI B/24,1,1,"2,760",
8145287,ARTEFAN 40/240 CP BLIST B/6,1,5,"1,720",
8076190,ARTEFAN 80/480 CP ETUI B/6,1,343,"2,150",
8181975,ARTRIM GH 40/240MG CP B/6,1,8,"1,790",
2255974,BIMALARIL 80/480 CP B/6,1,9,"2,300",
2255081,BIMALARIL SUSP ENF 30ML 40/240,1,11,"2,630",
2283284,CO ARINATE FDC AD CP B/3,1,51,"2,990",
8170836,DUOQUIN 40MG/320MG CP B/9,1,0,"2,480",
3000000787,MALAFENTRINE DS 80/480 CPR B/6,2,0,"1,575",
8509039,PALUVA 80/480MG CP B/6,1,35,"1,715",
8141390,PLUFENTRINE 80/480MG CP B/6,1,0,"2,300",
2297085,SP-LIC 525MG CP B/3,1,10,500,
,,Nombre d'articles :,12,,
Code Géo :,AUTRES COMPRIMES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8090445,ANTALGEX T GEL B/20,2,10,"1,970",
4677308,ARTHROSTOP PLUS CP B/30,1,3,"7,100",
3412447,CELESTENE 2MG COMP DISP B/20,1,19,"3,360",
1312411,CLARITHROMYCIN GH 500MG B/14,1,0,"3,980",
1211091,CYCLOPAM CP B/10,1,1,"2,100",
8179412,DAFLON 1000MG CP B/30,1,2,"11,320",
8644990,DOLMUS 500/500/50 CP B/10,1,0,"2,440",
3675193,DONORMYL 15MG CP SEC B/10,1,3,"2,595",
8108317,GRAMOCEF 0 200MG B/10,2,0,"4,020",
2281291,GRISEOPHARM 125MG COMP B/32,1,6,"1,085",
2296795,METRONYL 500MG CP B/20,1,2,"1,470",
1620821,MIOREL GE 4MG GELU B/12   23ME,1,11,"3,210",
1321661,NUCLEO CMP FORT GELU/30 AFR,2,7,"6,390",
3290323,OFLOCET 200MG CP B/10,1,1,"6,200",
1326831,PROFENID 100MG CP B/2X15,1,3,"3,910",
8170486,SPASMOSYL 80MG CP B/20,1,0,"2,070",
8151000,SWICH 200MG CP B/10,1,2,"7,850",
2264022,TRABAR 50MG CAPS B/10,1,3,"3,030",
2291668,ZERODOL P 500MG CP B/10,2,6,"2,210",
,,Nombre d'articles :,19,,
Code Géo :,AUTRES DETAILS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8594720D,AFINE 500MG CP B/20X4  (DETAIL),13,0,300,
2296105D,AMOXICIL CREACIL 500 GEL100X12  (DETAIL),5,-23,900,
2270181,CONFIANCE COMP PLAQ/3X28,2,24,"1,230",
8110900D,FEBRILEX CP B/4 PRES/50  (DETAIL),3,49,500,
489051D,GANT EXAMEN MEDIUM B/100  (DETAIL),2,98,100,
8081802D,LITACOLD CP B/20X4  (DETAIL),2,9,300,
1437911D,LITAMOL 100MG EFF CP B/80  (DETAIL),3,-24,350,
8163121D,PARACETAMOL CRE 500 B/12X100  (DETAIL),25,12,250,
8291178D,SPARADRAP PERF PHD 18CMX5M /1  (DETAIL),2,9,700,
1279041D,Z COLD CP B/20X4  (DETAIL),1,12,300,
,,Nombre d'articles :,10,,
Code Géo :,AUTRES SIROPS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8342088,ALLERGYL SP 60ML,1,7,630,
8054231,AMOXICIL UBI 250MG PDR F/60ML,1,19,"1,010",
1312391,CEFIXIM GH 100MG/5ML FL/100ML,2,1,"5,510",
3230002,CLAMOXYL 500MG PDRE SP FL/60ML,1,7,"1,930",
8165798,CURAM 100MG NOU S.BUV FL/30ML,1,3,"2,560",
2255224,DIASTOP SUSP FL/60ML MEPACO,1,0,"1,540",
1326161,FLAGYL 125MG/5ML SUSP 120ML,1,6,"2,600",
3538295,MAALOX ME MENT SUSP/250ML,1,1,"2,410",
3065299,MAXILASE SP F/125ML,1,5,"2,550",
1663471,MEQUI-GH 2.5MG/5ML SP FL/60ML,1,5,"1,695",
403351,SPASMOBUTINE SUSP FL/250ML,1,9,"2,730",
,,Nombre d'articles :,11,,
Code Géo :,BIEN ETRE,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2275422,FLUOKID GEL DENTIFRICE 50ML,1,4,"1,100",
2271424,FLUORYL PATE DENTIF T/125ML,1,5,"1,990",
,,Nombre d'articles :,2,,
Code Géo :,COLLUTOIRES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
3443873,VENTOLINE INH 100MCG 200D,1,12,"3,930",
,,Nombre d'articles :,1,,
Code Géo :,COUCHE BB ET HYGENIQUES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
1364281,SERVIET FEM PERFECT NORM S/14,1,-5,570,
,,Nombre d'articles :,1,,
Code Géo :,CREMES ET POMMADES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2016778,BANEOCIN POM T/20G,1,36,"1,820",
2027724,GRISEO LAPR 5% T/15G,1,7,"1,050",
8372818,SUPIROCIN POM T/15G,1,6,"3,980",
3723041,VOLTARENE EMULGEL 1% T/10G,1,4,"2,220",
,,Nombre d'articles :,4,,
Code Géo :,DEPARASITANTS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2024418,ALBEN 400MG COMP B/1,1,73,"1,445",
8074558,NEMOZOLE 400MG CP B/1,1,16,920,
1130791,TEST GROSSESS D.VIDE STYLO/1,3,0,"1,000",
3111154,VALDA PATE SUCER B/60 ENV  AFR,1,0,"1,340",
2265168,WORMIN 500MG COMP B/1,3,2,360,
,,Nombre d'articles :,5,,
Code Géo :,DETAILS INJECTABLES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8155469D,CALGIN AMP INJ B/10  (DETAIL),2,0,300,
1468991D,CEFTRIMAX 1G PDR SOL INJ B/20  (DETAIL),5,0,"1,500",
5555D,EAU POUR PREPARATION INJ BT/50  (DETAIL),1,0,200,
3311077D,LOXEN 10MG/10ML INJ AMP/5  (DETAIL),2,1,"2,000",
3152012D,MAG 2 INJ 0.8% 10ML AMP/12 AFR  (DETAIL),2,0,400,
2285745D,POLYVITA-M IV AMP B/5  (DETAIL),4,4,500,
2275333D,TRIAM DENK 40 INJ AMP B/10  (DETAIL),1,8,"1,500",
3113638D,VIT B12 1000 GERDA AMP B/6  (DETAIL),4,0,500,
,,Nombre d'articles :,8,,
Code Géo :,FARINES ENFANTILES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
6151651,BLEDINE BISCUIT LAIT B/250G,2,7,"2,005",
2279070D,CERELAC BLE 50G P/10  (DETAIL),2,3,325,
2284510,CERELAC BLE B/400G,1,23,"2,520",
,,Nombre d'articles :,3,,
Code Géo :,FORMES INJECTABLES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8099475D,ARTEMETHER UBI 40MG INJ B/10  (DETAIL),3,0,"1,000",
8049661,LARITHER 80MG 1ML INJ B/6,1,5,"5,745",
,,Nombre d'articles :,2,,
Code Géo :,FORTIFIANTS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8123736,C-CAL GRAN EFF SACHET B/10,1,33,"1,870",
1745701,NEURAKEM SP FL/125ML,2,0,"2,410",
2007880,UPSA VIT C 1G CP EFF B/10,2,79,"1,210",
8181343,VIVAGEST CAPS B/30,1,1,"8,070",
,,Nombre d'articles :,4,,
Code Géo :,FRIGO,,,,
