GRANDE PHARMACIE DE TANDA,,,,,
"DR TCHUERE ALEXIS
TANDA
BP 35 TANDA - 0788203030",,,,,
,LISTE DES PRODUITS VENDUS,,,,
, Période  du  01/08/2023 au  10/12/2023,,,,
Code Géo :,CODE INDEFINI ,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
3335876,BACTOX 250MG SP 60ML               ,2,0,"1,720",
8358801,FAIR WHITE GEL DOUCHE F/1000ML,1,0,"6,110",
2260662,SUPAFEN CPR 400/300MG BT/10        ,40,0,950,
9555249D,THE FLAT STOMACH/ VENTRE PLAT B/30  (DETAIL),2,0,"6,000",
8261065,TOUL HEMORROTOUL CR T/100G,1,0,"3,235",
,,Nombre d'articles :,5,,
Code Géo :,ANTIBIOTIQUES 1,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
1511601,AARLOFLOX OZ 200MG/500MG B/10,20,0,"2,760",
1334701,ACLAV 100/12.5MG SP F/30ML,1,0,"2,480",
2278030,"ACLAV 100MG/12,5MG SP F/60ML          ",7,0,"3,270",
2277993,ACLAV 1G/125MG SACH B/12           ,4,4,"5,580",
8179582,ACLAV 1G/125MG SACH B/16,6,2,"7,780",
1334691,ACLAV 500/50MG F/1 IV,4,0,"1,930",
8179576,"ACLAV 500/62,5MG SACH B/16",1,2,"7,170",
2278047,ACLAV 500/62.5MG SACH B/12         ,3,2,"5,535",
8111555,AFSC 1G/1G/150MG KIT,1,2,"4,990",
8151388,ALFAMOX 1G PDR SUSP BUV SACH B/14,17,4,"3,720",
8155446,ALFAMOX 250MG/5ML PDRE SUSP F/100ML,18,4,"1,930",
8155452,ALFAMOX 500MG PDR SUSP BUV SACH B/14,2,4,"2,650",
2284906,ALTRIM 240MG SUSP BUV F/100ML      ,39,2,"1,880",
8140031,ALTRIM FORTE 960MG CPR B/9,11,2,"1,800",
1211751,AMFOCIN 1G/125MG SACHET B/12,69,2,"6,330",
1526641,AMFOCIN 1G/200MG PDR INJ F/1,1,0,"2,070",
1565861,AMFOCIN 500/62.5MG P/SUP 30ML,7,1,"2,410",
1565881,AMFOCIN 500/62.5MG PDRE SUSP ORALE F60ML,39,0,"3,445",
1565851,AMFOCIN 500/62.5MG PDRE SUSP ORALE SACH 12,7,2,"4,410",
8182288,AMFOCIN 500MG/62.5 CP B/16,13,3,"4,620",
2263413,AMITRON 500MG GEL B/12             ,3,0,"1,405",
2263407,AMITRON SP 250MG FL/60ML           ,74,0,"1,100",
3234537,AMODEX 250MG PDR SIROP FL 60ML     ,21,15,"1,280",
3234520,AMODEX 500MG GELULE BT 12          ,2,1,"1,230",
2030034,AMOXICILINE CREACIL 500MG B/12 GEL  ,7,0,"1,440",
1358321,AMOXICILLINE IG DISP 250MG/20,61,1,"2,070",
2293182,AMOXICILLINE TONG 500MG CP/12,2,2,945,
8054194,AMOXICILLINE UBI 125MG PDR F/60ML,416,202,895,
8054231,AMOXICILLINE UBI 250MG PDR SUSP F/60ML,"2,561",115,"1,040",
8137655,AMOXICLAV DENK 1000/125MG SACH B/12,6,2,"6,750",
2288873,AMOXICLAV DENK 1000/125MG SACH B/8,14,2,"4,850",
2291177,AMOXICLAV DENK 500/62.5 CP 2X8,3,2,"4,860",
2252332,AMOXI-DENK 500MG B/20              ,3,2,"2,150",
2035244,AMPIPHAR AMPIC 500MG CPR B/12      ,9,2,"1,100",
2296111,AMPIPHAR-AMPIC.250MG SP FL60ML     ,13,3,"1,330",
1405551,AMPLEX 1000MG/125MG CPR B/14,1,1,"6,230",
8488745,ASMOFLOX 200MG CP B/20,4,3,"4,100",
8488768,ASMOXIME 200MG CP B/10,4,1,"4,800",
8018991,ASTAPH 125MG SP F/60ML             ,13,3,"2,310",
8034518,ASTAPH 250MG SP F/60ML             ,12,3,"3,330",
8151141,ASTAPH 250MG/5ML FL/100ML,7,3,"4,850",
8151394,ASTAPH 500MG GEL B/24,5,2,"5,300",
8019051,ASTAPH 500MG GELU B/12             ,40,43,"2,720",
8152353,ATMAX 200MG/5ML SP 15ML,1,0,"3,860",
8152376,ATMAX 500MG CP B/3,70,3,"5,980",
3439251,AUGMENTIN 100MG ENFT SUSP 60ML     ,16,2,"5,030",
3331401,AUGMENTIN 100MG SUSP BB FL/30ML    ,37,5,"2,850",
3445116,AUGMENTIN 1G SACHET B/12           ,16,2,"7,830",
3533702,AUGMENTIN 500MG CPR PELL B/16      ,28,5,"5,460",
8014693,AZIBACT 500MG CP B/3               ,47,3,"4,170",
2271565,AZICURE 200MG SUSP FL 15ML,5,2,"4,395",
2255052,AZICURE 250MG CP B/6,3,2,"3,750",
2271140,AZICURE 500MG CP B/3,14,2,"4,960",
1353371,AZIK 500MG CP B/3,6,1,"3,750",
8068517,AZIT 200MG PDRE SUSP BUV F/15ML,5,2,"1,870",
